складывается,impf
образует,perf
открывается,impf
откройте,perf
начните,perf
открывает,impf
понимаешь,impf
сочиняли,impf
звучал,impf
продолжает,impf
касается,impf
создают,impf
голодай,impf
отличается,impf
образуют,impf
протянулся,perf
удалось,perf
получилось,perf
занимают,impf
придают,impf
повторяет,impf
являют,impf
была,impf
началась,perf
был,impf
рассказывает,impf
заложил,perf
гласит,impf
взял,perf
вырезал,impf
сложил,perf
сказал,perf
начал,perf
появился,perf
поставили,perf
окропило,perf
поставил,perf
сложилось,perf
основал,perf
помните,impf
начало,perf
вёл,impf
обосновывался,impf
контролировал,impf
оценили,perf
основали,perf
стала,perf
было,impf
соорудили,perf
вспыхнуло,perf
прогнали,perf
пригласили,perf
стало,perf
закончилась,perf
начался,perf
сел,perf
играли,impf
стал,perf
установил,perf
обитали,impf
стояли,impf
называли,impf
относят,impf
разбил,perf
потеряли,perf
наклали,impf
повезли,perf
могло,impf
вошли,perf
встали,perf
начали,perf
назвали,perf
смогли,perf
осадили,perf
разрушили,perf
применили,perf
были,impf
увидели,perf
двигаются,impf
сталкивался,impf
построили,perf
берёт,impf
объявлялись,impf
закрепил,perf
признали,perf
фиксируется,impf
теряла,impf
находятся,impf
возникает,impf
пришли,perf
существует,impf
закрепился,perf
вырос,perf
соединял,impf
справлял,impf
хотел,impf
идёт,impf
стоит,impf
может,impf
предполагается,impf
жило,impf
составляли,impf
завершилась,perf
продержалась,perf
пала,perf
существовало,impf
породило,perf
считается,impf
началось,perf
велось,impf
получила,perf
назвал,perf
отмечает,impf
удался,perf
произошёл,perf
вытеснила,perf
размещался,impf
имеется,impf
называл,impf
петри,impf
встречалось,impf
встречались,impf
состоялось,perf
сказалась,perf
шла,impf
присвоил,perf
устроили,perf
строился,impf
сказалось,perf
писал,impf
смотрите,impf
отвечают,impf
остаётся,impf
преображается,impf
воспринимается,impf
звучит,impf
плывут,impf
освещают,impf
отражаются,impf
находится,impf
включают,impf
присутствует,impf
доходит,perf
тени,impf
сливаются,impf
путаются,impf
душу,impf
уводит,impf
исчезает,impf
хватает,impf
повторяются,impf
вызывают,impf
представляет,impf
лежат,impf
высвечивают,impf
суть,impf
говорит,impf
называют,impf
начинается,impf
называлась,impf
перекинулось,perf
намывают,impf
уходит,impf
назывался,impf
именовался,impf
ассоциируется,impf
включает,impf
пристань,perf
застраивался,impf
перестраивались,impf
получили,perf
превосходили,impf
руководил,impf
поднимали,impf
перестраивали,impf
появилась,perf
поднимался,impf
опускался,impf
стали,perf
возродили,perf
пытались,impf
решили,perf
раздаётся,impf
имели,impf
сверяли,impf
прекратили,perf
носили,impf
облицовывают,impf
возмутилась,perf
распорядилась,perf
выполнили,perf
осталось,perf
перестраивают,impf
похоронили,perf
появились,perf
изучал,impf
называются,impf
заменяются,impf
содержит,impf
весит,impf
становилась,impf
знает,impf
дал,perf
является,impf
признал,perf
задумывалось,impf
